A_Accidente,Clase de accidente,Tipo de accidente,Año,Mes,Día,Hora,Hora recodificada,Provincia,Canton,Distrito,Ruta,Kilómetro,Tipo ruta,Rural o urbano,Calzada vertical,Calzada horizontal,Tipo de calzada,Estado del tiempo,Tipo de circulación,Dia,Mes
1,Con muertos o graves,Salió de la vía,2015,Enero,Domingo,21,18:00-23:59,Puntarenas,Coto Brus,Sabalito,617,11,Nacional,Urbana,Desconocida,Curva,Asfalto,Oscuro,Objeto Fijo,1.Domingo,A. Enero
1,Solo heridos leves,Atropello a persona,2014,Abril,Jueves,8,06:00-11:59,San José,San José,Hospital,2,2,Nacional,Urbana,Plano,Recta,Asfalto,Buen tiempo,De frente,5.Jueves,D. Abril
1,Solo heridos leves,Colisión con motocicleta,2014,Abril,Lunes,17,12:00-17:59,San José,San José,Uruca,1,4,Nacional,Urbana,Plano,Recta,Asfalto,Lluvia intensa,Por detrás,2.Lunes,D. Abril
1,Con muertos o graves,Colisión con motocicleta,2014,Junio,Viernes,2,00:00-05:59,San José,Puriscal,Santiago,239,19,Nacional,Urbana,Pendiente,Curva,Asfalto,Buen tiempo,De frente,6.Viernes,F. Junio
1,Solo heridos leves,Colisión con motocicleta,2017,Octubre,Domingo,20,18:00-23:59,San José,Pérez Zeledón,Daniel Flores,2,141,Nacional,Urbana,Plano,Recta,Asfalto,Lluvia escasa,Lateral igual sentido,1.Domingo,J. Octubre
1,Solo heridos leves,Colisión con motocicleta,2014,Enero,Sábado,9,06:00-11:59,Heredia,Santa Bárbara,Jesús,Cantonal,Cantonal,Cantonal,Rural,Pendiente,Desconocida,Asfalto,Buen tiempo,De frente,7.Sábado,A. Enero
1,Solo heridos leves,Colisión con motocicleta,2014,Enero,Miércoles,15,12:00-17:59,Heredia,Heredia,Heredia,Cantonal,Cantonal,Cantonal,Urbana,Plano,Cruce,Asfalto,Despejado,Angulo recto,4.Miércoles,A. Enero
1,Solo heridos leves,Salió de la vía,2014,Enero,Viernes,21,18:00-23:59,Heredia,San Rafael,Concepción,Cantonal,Cantonal,Cantonal,Urbana,Plano,Recta,Lastre,Buen tiempo,De Costado,6.Viernes,A. Enero
1,Con muertos o graves,Atropello a persona,2014,Enero,Jueves,9,06:00-11:59,Heredia,San Rafael,San Rafael,Cantonal,Cantonal,Cantonal,Urbana,Plano,Cruce,Asfalto,Buen tiempo,De frente,5.Jueves,A. Enero
1,Solo heridos leves,Atropello a persona,2014,Enero,Viernes,7,06:00-11:59,Heredia,Heredia,San Francisco,111,1,Nacional,Urbana,Plano,Desconocida,Concreto,Despejado,De frente,6.Viernes,A. Enero
1,Solo heridos leves,Colisión con motocicleta,2014,Enero,Domingo,17,12:00-17:59,Heredia,Heredia,Ulloa,1,8,Nacional,Urbana,Plano,Desconocida,Asfalto,Buen tiempo,Angulo recto,1.Domingo,A. Enero
1,Con muertos o graves,Colisión con motocicleta,2014,Enero,Miércoles,16,12:00-17:59,Heredia,Heredia,Mercedes,Cantonal,Cantonal,Cantonal,Urbana,Plano,Curva,Asfalto,Despejado,De Costado,4.Miércoles,A. Enero
1,Solo heridos leves,Atropello a persona,2014,Enero,Jueves,17,12:00-17:59,Heredia,Heredia,Heredia,Cantonal,Cantonal,Cantonal,Urbana,Plano,Cruce,Asfalto,Despejado,De Costado,5.Jueves,A. Enero
1,Solo heridos leves,Atropello animal,2014,Enero,Viernes,17,12:00-17:59,Heredia,San Rafael,San Josecito,Cantonal,Cantonal,Cantonal,Urbana,Pendiente,Desconocida,Asfalto,Buen tiempo,De frente,6.Viernes,A. Enero
1,Solo heridos leves,Colisión con motocicleta,2014,Enero,Domingo,12,12:00-17:59,Heredia,San Rafael,San Rafael,116,14,Nacional,Urbana,Plano,Cruce,Asfalto,Buen tiempo,De frente,1.Domingo,A. Enero
1,Solo heridos leves,Colisión entre vehículos,2014,Enero,Martes,10,06:00-11:59,Heredia,Heredia,Heredia,Cantonal,Cantonal,Cantonal,Urbana,Plano,Cruce,Asfalto,Despejado,Angulo recto,3.Martes,A. Enero
1,Solo heridos leves,Colisión con motocicleta,2014,Febrero,Domingo,10,06:00-11:59,Heredia,Santo Domingo,Tures,116,4,Nacional,Urbana,Plano,Desconocida,Asfalto,Buen tiempo,De Costado,1.Domingo,B. Febrero
1,Solo heridos leves,Colisión entre vehículos,2014,Febrero,Miércoles,17,12:00-17:59,Heredia,Belén,La Asunción,111,4,Nacional,Urbana,Plano,Cruce,Asfalto,Buen tiempo,De frente,4.Miércoles,B. Febrero
1,Solo heridos leves,Colisión entre vehículos,2014,Febrero,Viernes,8,06:00-11:59,Heredia,Santo Domingo,Santo Domingo,116,0,Nacional,Urbana,Plano,Cruce,Asfalto,Despejado,Angulo recto,6.Viernes,B. Febrero
1,Con muertos o graves,Colisión con bicicleta,2014,Febrero,Miércoles,6,06:00-11:59,Heredia,Heredia,San Francisco,3,8,Nacional,Urbana,Plano,Cruce,Asfalto,Despejado,De Costado,4.Miércoles,B. Febrero
1,Solo heridos leves,Colisión entre vehículos,2014,Febrero,Sábado,12,12:00-17:59,Heredia,Heredia,Heredia,Cantonal,Cantonal,Cantonal,Urbana,Plano,Cruce,Asfalto,Despejado,De Costado,7.Sábado,B. Febrero
1,Solo heridos leves,Vuelco,2014,Febrero,Domingo,18,18:00-23:59,Heredia,Heredia,San Francisco,Cantonal,Cantonal,Cantonal,Urbana,Plano,Cruce,Asfalto,Buen tiempo,De Costado,1.Domingo,B. Febrero
1,Solo heridos leves,Atropello a persona,2014,Febrero,Lunes,17,12:00-17:59,Heredia,Barva,San Pablo,126,3,Nacional,Urbana,Plano,Desconocida,Asfalto,Despejado,De Costado,2.Lunes,B. Febrero
1,Solo heridos leves,Colisión con motocicleta,2014,Febrero,Lunes,19,18:00-23:59,Heredia,San Pablo,San Pablo,112,0,Nacional,Urbana,Pendiente,Desconocida,Asfalto,Oscuro,De Costado,2.Lunes,B. Febrero
1,Solo heridos leves,Colisión entre vehículos,2014,Febrero,Lunes,6,06:00-11:59,Heredia,Belén,La Asunción,Cantonal,Cantonal,Cantonal,Urbana,Plano,Cruce,Asfalto,Despejado,Angulo recto,2.Lunes,B. Febrero
1,Solo heridos leves,Colisión con motocicleta,2014,Febrero,Martes,7,06:00-11:59,Heredia,San Isidro,San Isidro,116,7,Nacional,Urbana,Pendiente,Cruce,Asfalto,Despejado,De Costado,3.Martes,B. Febrero
1,Solo heridos leves,Colisión con motocicleta,2014,Febrero,Viernes,8,06:00-11:59,Heredia,Santo Domingo,Santo Domingo,5,5,Nacional,Urbana,Plano,Cruce,Asfalto,Despejado,De Costado,6.Viernes,B. Febrero
1,Solo heridos leves,Colisión entre vehículos,2014,Marzo,Sábado,12,12:00-17:59,Heredia,Heredia,Mercedes,Cantonal,Cantonal,Cantonal,Urbana,Pendiente,Curva,Asfalto,Despejado,De frente,7.Sábado,C. Marzo
1,Solo heridos leves,Colisión entre vehículos,2014,Marzo,Domingo,14,12:00-17:59,Heredia,Heredia,Mercedes,Cantonal,Cantonal,Cantonal,Urbana,Plano,Curva,Asfalto,Despejado,De frente,1.Domingo,C. Marzo
1,Con muertos o graves,Colisión entre vehículos,2014,Marzo,Domingo,16,12:00-17:59,Heredia,Heredia,Heredia,5,8,Nacional,Urbana,Plano,Cruce,Asfalto,Buen tiempo,Angulo recto,1.Domingo,C. Marzo
1,Solo heridos leves,Colisión entre vehículos,2014,Marzo,Domingo,21,18:00-23:59,Heredia,Heredia,Heredia,Cantonal,Cantonal,Cantonal,Urbana,Plano,Cruce,Asfalto,Oscuro,Angulo recto,1.Domingo,C. Marzo
1,Solo heridos leves,Colisión con motocicleta,2014,Marzo,Miércoles,18,18:00-23:59,Heredia,Belén,La Ribera,3,12,Nacional,Urbana,Plano,Cruce,Asfalto,Oscuro,Angulo recto,4.Miércoles,C. Marzo
1,Solo heridos leves,Colisión con bicicleta,2014,Marzo,Viernes,15,12:00-17:59,Heredia,Flores,Barrantes,119,4,Nacional,Urbana,Plano,Cruce,Asfalto,Buen tiempo,De frente,6.Viernes,C. Marzo
1,Solo heridos leves,Colisión entre vehículos,2014,Marzo,Jueves,7,06:00-11:59,Heredia,Heredia,Heredia,Cantonal,Cantonal,Cantonal,Urbana,Plano,Cruce,Asfalto,Despejado,Angulo recto,5.Jueves,C. Marzo
1,Solo heridos leves,Colisión con motocicleta,2014,Marzo,Lunes,18,18:00-23:59,Heredia,Heredia,San Francisco,111,2,Nacional,Urbana,Plano,Recta,Concreto,Lluvia escasa,De Costado,2.Lunes,C. Marzo
1,Solo heridos leves,Colisión con motocicleta,2014,Marzo,Martes,6,06:00-11:59,Heredia,Barva,San Roque,Ignorada,#NULL!,Ignorada,Desconocida,Plano,Cruce,Asfalto,Despejado,Angulo recto,3.Martes,C. Marzo
1,Solo heridos leves,Atropello a persona,2014,Marzo,Miércoles,7,06:00-11:59,Heredia,Heredia,San Francisco,Cantonal,Cantonal,Cantonal,Urbana,Plano,Cruce,Asfalto,Buen tiempo,De Costado,4.Miércoles,C. Marzo
1,Solo heridos leves,Colisión con motocicleta,2014,Marzo,Miércoles,8,06:00-11:59,Heredia,Barva,Barva,Cantonal,Cantonal,Cantonal,Urbana,Plano,Recta,Asfalto,Despejado,Por detrás,4.Miércoles,C. Marzo
1,Solo heridos leves,Colisión entre vehículos,2014,Marzo,Jueves,7,06:00-11:59,Heredia,Heredia,Heredia,Cantonal,Cantonal,Cantonal,Urbana,Plano,Cruce,Asfalto,Despejado,Angulo recto,5.Jueves,C. Marzo
1,Solo heridos leves,Colisión con motocicleta,2014,Marzo,Lunes,16,12:00-17:59,Heredia,Barva,San Pedro,Cantonal,Cantonal,Cantonal,Urbana,Pendiente,Recta,Lastre,Despejado,De Costado,2.Lunes,C. Marzo
1,Solo heridos leves,Colisión con motocicleta,2014,Abril,Martes,21,18:00-23:59,Heredia,San Rafael,San Josecito,113,2,Nacional,Urbana,Plano,Cruce,Asfalto,Oscuro,De Costado,3.Martes,D. Abril
1,Solo heridos leves,Colisión entre vehículos,2014,Abril,Lunes,6,06:00-11:59,Heredia,Heredia,Heredia,Cantonal,Cantonal,Cantonal,Urbana,Plano,Desconocida,Adoquin,Despejado,Angulo recto,2.Lunes,D. Abril
1,Solo heridos leves,Colisión entre vehículos,2014,Abril,Martes,9,06:00-11:59,Heredia,Heredia,Heredia,Cantonal,Cantonal,Cantonal,Urbana,Plano,Desconocida,Asfalto,Despejado,Angulo recto,3.Martes,D. Abril
1,Solo heridos leves,Colisión entre vehículos,2014,Abril,Viernes,9,06:00-11:59,Heredia,Heredia,Heredia,Cantonal,Cantonal,Cantonal,Urbana,Plano,Cruce,Asfalto,Buen tiempo,Angulo recto,6.Viernes,D. Abril
1,Solo heridos leves,Colisión con motocicleta,2014,Abril,Lunes,6,06:00-11:59,Heredia,San Rafael,Santiago,113,100.00%,Nacional,Urbana,Plano,Cruce,Asfalto,Buen tiempo,Por detrás,2.Lunes,D. Abril
1,Solo heridos leves,Colisión con motocicleta,2014,Abril,Miércoles,8,06:00-11:59,Heredia,Santo Domingo,Tures,Cantonal,Cantonal,Cantonal,Urbana,Plano,Recta,Asfalto,Buen tiempo,Por detrás,4.Miércoles,D. Abril
1,Solo heridos leves,Colisión con motocicleta,2014,Mayo,Miércoles,9,06:00-11:59,Heredia,Santo Domingo,Santa Rosa,Cantonal,Cantonal,Cantonal,Urbana,Plano,Cruce,Asfalto,Despejado,De Costado,4.Miércoles,E. Mayo
