Provincia,Canton,Población de 15 años y más,Tasa neta de participación,Tasa de ocupación,Tasa de desempleo abierto,Porcentaje de población económicamente inactiva,Relación de dependencia económica,Pctg Ocup Sector Prim,Pctg Ocup Sector Sec,Pctg Ocup Sector Ter
San José,San José, 225 856,56.7,54.5,3.9,43.3,1.2,0.7,18.9,80.4
San José,Escazú, 44 797,60.7,58.9,3,39.3,1.1,2.5,16.7,80.7
San José,Desamparados, 159 292,57,54.7,4,43,1.3,2.2,19.6,78.2
San José,Puriscal, 25 774,50.7,49.1,3.1,49.3,1.5,15.8,14.4,69.8
San José,Tarrazú, 11 800,51.2,49.7,2.8,48.8,1.7,41.2,10.4,48.4
San José,Aserrí, 43 396,54.5,52.7,3.2,45.5,1.4,7.3,19,73.8
San José,Mora, 20 414,55.2,53.4,3.2,44.8,1.3,8.3,16.1,75.6
San José,Goicoechea, 90 537,56.8,54.7,3.7,43.2,1.2,1,16.7,82.3
San José,Santa Ana, 38 096,61.8,60.4,2.3,38.2,1.1,3.2,17.7,79.2
San José,Alajuelita, 56 704,56,53.9,3.8,44,1.4,0.8,22.6,76.6
San José,Vázquez de Coronado, 47 697,58.4,56.6,3,41.6,1.2,2.1,16.1,81.7
San José,Acosta, 15 270,49.6,48.5,2.1,50.4,1.7,30.5,10.5,59
San José,Tibás, 52 194,56,54.1,3.5,44,1.2,0.8,17.1,82.1
San José,Moravia, 45 444,58.7,56.8,3.2,41.3,1.1,1.8,16.1,82.1
San José,Montes de Oca, 41 561,58.8,57.1,2.9,41.2,1,1.2,12.3,86.5
San José,Turrubares, 4 133,48.2,46.3,3.9,51.8,1.8,33,12.9,54.1
San José,Dota, 5 164,51.2,50.3,1.8,48.8,1.6,45.4,10.4,44.2
San José,Curridabat, 51 916,58.9,57.1,3,41.1,1.1,1.4,17.4,81.2
San José,Pérez Zeledón, 98 186,48,46.4,3.4,52,1.9,26.6,13.2,60.2
San José,León Cortés Castro, 9 084,47.2,46,2.4,52.8,1.8,51.6,11,37.4
Alajuela,Alajuela, 195 003,55.8,53.9,3.5,44.2,1.3,5.8,26.8,67.4
Alajuela,San Ramón, 61 084,51,49.5,2.9,49,1.6,16.9,17.8,65.3
Alajuela,Grecia, 58 182,53.8,52.2,2.9,46.2,1.5,15.9,25.3,58.8
Alajuela,San Mateo, 4 719,44.7,43.7,2.2,55.3,1.9,31.9,10.2,57.9
Alajuela,Naranjo, 32 302,50.7,49.3,2.7,49.3,1.6,17.2,25.3,57.5
Alajuela,Palmares, 27 032,51.7,50.1,3.2,48.3,1.5,9.4,23.8,66.8
Alajuela,Poás, 21 926,53.1,51.2,3.6,46.9,1.5,16.9,24.3,58.7
Alajuela,Orotina, 15 137,48.2,46.9,2.7,51.8,1.8,9.9,15.6,74.5
Alajuela,San Carlos, 116 816,54.2,52.7,2.8,45.8,1.6,26.1,14.9,59
Alajuela,Zarcero, 9 249,54.8,54.3,0.9,45.2,1.4,39.6,15.7,44.6
Alajuela,Valverde Vega, 13 645,50.8,49.2,3.1,49.2,1.6,17.1,26.2,56.7
Alajuela,Upala, 30 304,44.9,43.8,2.5,55.1,2.2,45.1,8.9,46
Alajuela,Los Chiles, 16 195,47.5,45.7,3.8,52.5,2.1,54.6,7.9,37.5
Alajuela,Guatuso, 10 972,46.1,44.8,2.9,53.9,2.1,49.3,9.9,40.8
Cartago,Cartago, 113 972,53.2,51.4,3.3,46.8,1.4,10.2,23.2,66.5
Cartago,Paraíso, 43 318,51.5,49.6,3.7,48.5,1.6,16.6,22.8,60.6
Cartago,La Unión, 75 029,59.3,57.3,3.4,40.7,1.2,1.9,20,78.1
Cartago,Jiménez, 11 173,47.1,45.8,2.8,52.9,1.8,32.7,16.4,50.9
Cartago,Turrialba, 52 690,47.5,46.1,3,52.5,1.8,21.8,16.9,61.3
Cartago,Alvarado, 10 696,53,52.2,1.5,47,1.5,43.5,14.4,42.1
Cartago,El Guarco, 31 292,55.1,53.3,3.3,44.9,1.4,12.1,28.7,59.1
Heredia,Heredia, 334 474,57.3,55.6,2.9,42.7,1.3,7.3,20.4,72.3
Heredia,Heredia, 96 888,58.9,57,3.2,41.1,1.2,1.2,23,75.8
Heredia,Barva, 31 575,57.8,56.4,2.4,42.2,1.2,3.8,19.5,76.7
Heredia,Santo Domingo, 32 102,57.1,55.4,2.9,42.9,1.2,2.5,18.6,78.8
Heredia,Santa Bárbara, 27 695,56.4,54.9,2.7,43.6,1.3,5.9,24.5,69.6
Heredia,San Rafael, 35 529,57.9,56.1,3.1,42.1,1.2,2.6,21.5,75.9
Heredia,San Isidro, 16 172,58.7,57.4,2.2,41.3,1.2,4.7,18.1,77.2
Heredia,Belén, 17 469,58.5,57.1,2.4,41.5,1.1,3.1,25.7,71.3
Heredia,Flores, 15 674,58.9,57.4,2.7,41.1,1.2,2,24,74
Heredia,San Pablo, 21 923,58.5,56.9,2.8,41.5,1.2,1.3,17.7,81
Heredia,Sarapiquí, 39 447,50.5,48.8,3.4,49.5,1.9,48.1,9.8,42.1
Guanacaste,Guanacaste, 241 166,47.4,45.4,4.2,52.6,1.9,18.4,13.2,68.5
Guanacaste,Liberia, 45 580,52.1,49.5,4.8,47.9,1.7,8.5,12.9,78.6
Guanacaste,Nicoya, 38 625,43.7,42.1,3.6,56.3,2,17.1,14.3,68.6
Guanacaste,Santa Cruz, 41 660,47.5,45.4,4.4,52.5,1.8,12.2,10.9,76.9
Guanacaste,Bagaces, 14 037,45.9,44.1,3.8,54.1,2,29.4,12.4,58.2
Guanacaste,Carrillo, 27 199,46.5,43.9,5.6,53.5,1.9,13.8,15.5,70.6
Guanacaste,Cañas, 19 026,49.8,48.2,3.2,50.2,1.8,25.7,13,61.3
Guanacaste,Abangares, 13 323,47.1,44.9,4.8,52.9,1.9,30.5,17.6,51.9
Guanacaste,Tilarán, 14 705,48.6,47.2,2.9,51.4,1.7,20.1,14.6,65.3
Guanacaste,Nandayure, 8 384,42.2,40.3,4.4,57.8,2.1,33.7,11.7,54.6
Guanacaste,La Cruz, 13 106,45.4,43.7,3.6,54.6,2.2,37.2,9.5,53.3
Guanacaste,Hojancha, 5 521,43.8,42.8,2.2,56.2,2,32.9,12.3,54.8
